epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,14486.5,0.8079,1.34274,0.68914,1.07014,0.79939,0.72289,0.75738,0.58823,0.72911,0.64257,0.62929,0.20716,0.87973,1.13033,0.87869,1.00522,0.007162,0.007162,0.007162
88,14653.3,0.81683,1.36083,0.68319,1.07057,0.77062,0.77108,0.78583,0.60758,0.72939,0.65863,0.65425,0.22548,0.87436,1.11252,0.86037,0.98774,0.007129,0.007129,0.007129
89,14818.9,0.8084,1.35252,0.67147,1.06747,0.83426,0.76819,0.78783,0.61219,0.75685,0.69478,0.67056,0.21769,0.91965,1.15115,0.87109,1.01764,0.007096,0.007096,0.007096
90,14982.9,0.80255,1.33828,0.6743,1.05966,0.80667,0.7373,0.78723,0.60558,0.70238,0.65396,0.61334,0.20488,0.904,1.13525,0.87461,0.98748,0.007063,0.007063,0.007063
91,15146.9,0.80745,1.34671,0.6718,1.06329,0.83442,0.76908,0.78786,0.59403,0.73638,0.67871,0.62343,0.202,0.92245,1.14446,0.86417,1.02043,0.00703,0.00703,0.00703
92,15311.4,0.79582,1.35627,0.67719,1.05725,0.80128,0.74699,0.76671,0.59429,0.73074,0.67068,0.62408,0.2054,0.87977,1.13353,0.8911,0.99631,0.006997,0.006997,0.006997
93,15476.9,0.80587,1.32511,0.68454,1.06517,0.78953,0.77108,0.769,0.6029,0.72898,0.6988,0.64586,0.21113,0.88033,1.12843,0.86282,0.98526,0.006964,0.006964,0.006964
94,15645.9,0.80029,1.33718,0.68532,1.0594,0.82087,0.751,0.78721,0.6041,0.71942,0.68675,0.63486,0.21473,0.86569,1.13407,0.86837,0.98323,0.006931,0.006931,0.006931
95,15812.1,0.80348,1.35164,0.6713,1.06229,0.83085,0.74959,0.79259,0.6056,0.73761,0.66607,0.6236,0.21617,0.87731,1.13405,0.87164,1.00055,0.006898,0.006898,0.006898
96,15977.8,0.80131,1.34111,0.66138,1.06076,0.80729,0.76707,0.79274,0.61376,0.71088,0.68675,0.63515,0.21008,0.86291,1.12544,0.85822,0.96304,0.006865,0.006865,0.006865
97,16141.5,0.7846,1.32012,0.66632,1.05275,0.83339,0.72317,0.79068,0.61571,0.71872,0.6988,0.6731,0.22536,0.88567,1.1314,0.84634,0.99392,0.006832,0.006832,0.006832
98,16305.1,0.79534,1.34283,0.66114,1.05906,0.79037,0.75707,0.7716,0.59563,0.72099,0.6642,0.6312,0.21562,0.87556,1.12648,0.89255,1.01083,0.006799,0.006799,0.006799
99,16469.9,0.78894,1.3299,0.65622,1.05354,0.83117,0.75135,0.79324,0.62032,0.76531,0.6941,0.68213,0.22537,0.87254,1.11079,0.8568,0.99947,0.006766,0.006766,0.006766
100,16636,0.7887,1.33768,0.6417,1.06072,0.84865,0.7206,0.7689,0.61428,0.77501,0.67871,0.67492,0.2206,0.86803,1.13035,0.86158,0.9987,0.006733,0.006733,0.006733
101,16803.1,0.76844,1.29831,0.64113,1.04997,0.84709,0.73494,0.7852,0.62148,0.76885,0.66265,0.66676,0.22183,0.83573,1.14825,0.84181,0.97111,0.0067,0.0067,0.0067
102,16971.1,0.78683,1.34115,0.64916,1.05096,0.8386,0.72691,0.77844,0.61808,0.77733,0.67068,0.6834,0.22261,0.85527,1.13925,0.86476,0.99135,0.006667,0.006667,0.006667
103,17136.2,0.78549,1.32657,0.65203,1.05085,0.84171,0.71888,0.78512,0.60975,0.7469,0.65462,0.66177,0.21944,0.89085,1.15657,0.86882,1.00095,0.006634,0.006634,0.006634
104,17301,0.78475,1.34955,0.64004,1.04974,0.83541,0.7751,0.80119,0.60667,0.78666,0.71486,0.69965,0.2227,0.87614,1.14313,0.84913,0.9788,0.006601,0.006601,0.006601
105,17465.3,0.78218,1.3252,0.65219,1.04697,0.84991,0.70499,0.77462,0.59483,0.79213,0.65863,0.67689,0.21392,0.90238,1.11796,0.86126,1.00812,0.006568,0.006568,0.006568
106,17629.6,0.7695,1.30056,0.63733,1.04526,0.81897,0.751,0.78028,0.61136,0.75722,0.69478,0.66782,0.21559,0.85528,1.13194,0.83947,0.99958,0.006535,0.006535,0.006535
107,17794.7,0.77749,1.32375,0.63899,1.04858,0.83681,0.73494,0.79308,0.61112,0.80167,0.66558,0.69006,0.22038,0.87076,1.11342,0.83678,1.01392,0.006502,0.006502,0.006502
108,17962.6,0.76864,1.31423,0.62833,1.04479,0.83376,0.72511,0.78438,0.6013,0.77093,0.63525,0.64478,0.20206,0.86168,1.11327,0.83957,1.01782,0.006469,0.006469,0.006469
109,18129.4,0.7844,1.32561,0.65598,1.05796,0.82803,0.77108,0.798,0.61283,0.75731,0.6747,0.64389,0.213,0.85375,1.12396,0.81142,1.00243,0.006436,0.006436,0.006436
110,18295.4,0.76916,1.32748,0.63101,1.03817,0.84534,0.76707,0.79311,0.62321,0.7546,0.67922,0.64089,0.20997,0.83848,1.1344,0.80043,0.99299,0.006403,0.006403,0.006403
111,18460,0.76942,1.32855,0.63133,1.0408,0.83736,0.74437,0.78228,0.60358,0.79736,0.6747,0.67796,0.21236,0.85742,1.13357,0.81633,1.005,0.00637,0.00637,0.00637
112,18624,0.76994,1.32582,0.63078,1.04179,0.82659,0.76707,0.79526,0.6072,0.80337,0.67276,0.6824,0.21698,0.84941,1.15476,0.83278,0.98589,0.006337,0.006337,0.006337
113,18788.5,0.75618,1.30877,0.62253,1.03601,0.83012,0.77108,0.80014,0.60685,0.76893,0.72166,0.69767,0.22229,0.85119,1.15084,0.83667,0.97831,0.006304,0.006304,0.006304
114,18952.7,0.75782,1.30172,0.6126,1.03233,0.83069,0.73494,0.79294,0.6241,0.727,0.70281,0.67967,0.21801,0.84404,1.12774,0.81205,0.9868,0.006271,0.006271,0.006271
115,19120.7,0.76822,1.30569,0.62526,1.04187,0.83616,0.751,0.78348,0.62224,0.75819,0.69478,0.66613,0.21799,0.84969,1.12056,0.85084,0.97649,0.006238,0.006238,0.006238
116,19287.6,0.76354,1.30648,0.62024,1.03577,0.83829,0.76707,0.7861,0.61795,0.7841,0.71486,0.69418,0.22703,0.8644,1.11832,0.82082,0.97783,0.006205,0.006205,0.006205
